product_id,product_name
0,Apple
1,Banana
2,Orange
3,Mango
4,Grapes
5,Pineapple
6,Watermelon
7,Kiwi
8,Strawberry
9,Blueberry
10,Tomato
11,Potato
12,Onion
13,Carrot
14,Cabbage
15,Cauliflower
16,Spinach
17,Lettuce
18,Peas
19,Corn
20,Cucumber
21,Broccoli
22,Chili
23,Ginger
24,Garlic
25,Milk
26,Cheese
27,Butter
28,Yogurt
29,Paneer
30,Eggs
31,Chicken
32,Mutton
33,Beef
34,Fish
35,Prawns
36,Crab
37,Oil
38,Rice
39,Wheat
40,Flour
41,Sugar
42,Salt
43,Tea
44,Coffee
45,Juice
46,Soda
47,Chips
48,Biscuit
49,Chocolate
50,Cake
51,Bread
52,Noodles
53,Pasta
54,Soap
55,Shampoo
56,Conditioner
57,Toothpaste
58,Detergent
59,Cleaning Powder
60,Perfume
61,Deodorant
62,Face Cream
63,Handwash
64,Sanitizer
65,Mask
66,Gloves
67,Notebook
68,Pen
69,Pencil
70,Marker
71,Eraser
72,Rubber Band
73,Stapler
74,Paper Clips
75,Folder
76,File
77,Envelope
78,Staple Pin
79,Calculator
80,Backpack
81,Water Bottle
82,Lunch Box
83,Juicer
84,Blender
85,Microwave
86,Grinder
87,Iron
88,Fan
89,Heater
90,AC
91,TV
92,Speaker
93,Headphones
94,Camera
95,Tripod
96,Mobile
97,Laptop
98,Tablet
99,Charger
100,Power Bank
101,USB Cable
102,HDMI Cable
103,Mouse
104,Keyboard
105,Monitor
106,Printer
107,Scanner
108,Pen Drive
109,External HDD
110,Memory Card
111,Book
112,Magazine
113,Comic
114,Diary
115,Calendar
116,Chair
117,Table
118,Sofa
119,Bed
120,Mattress
121,Pillow
122,Blanket
123,Curtain
124,Rug
125,Lamp
126,Clock
127,Wall Art
128,Flower Vase
129,Planter
130,Pot
131,Plate
132,Bowl
133,Glass
134,Mug
135,Knife
136,Fork
137,Spoon
138,Pan
139,Pressure Cooker
140,Kettle
141,Toaster
142,Grill
143,Baking Tray
144,Tray
145,Bucket
146,Mop
