store_id,product_id,city_name,company_name,branch_name,product_name,stock_hour6_22_cnt,day_1_forecast,day_1_alert,day_2_forecast,day_2_alert,day_3_forecast,day_3_alert,day_4_forecast,day_4_alert,day_5_forecast,day_5_alert,day_6_forecast,day_6_alert,day_7_forecast,day_7_alert
99,381,Ahmedabad,MoreSuper,Branch 16,Pan (Extra2),0,6.81,UNDERSTOCK,8.38,UNDERSTOCK,13.55,UNDERSTOCK,20.59,UNDERSTOCK,36.74,UNDERSTOCK,65.04,UNDERSTOCK,67.36,UNDERSTOCK
286,834,Bhopal,Company_286,Branch_286,Product_834,2,5.77,UNDERSTOCK,8.37,UNDERSTOCK,13.58,UNDERSTOCK,21.09,UNDERSTOCK,37.12,UNDERSTOCK,58.93,UNDERSTOCK,60.92,UNDERSTOCK
897,240,Chandigarh,Company_897,Branch_897,Sofa (Extra),3,5.1,UNDERSTOCK,9.67,UNDERSTOCK,12.7,UNDERSTOCK,17.11,UNDERSTOCK,31.3,UNDERSTOCK,48.46,UNDERSTOCK,54.43,UNDERSTOCK
26,503,Mumbai,Reliance,Branch 3,Product_503,16,1.98,OVERSTOCK,3.38,OVERSTOCK,7.18,OVERSTOCK,9.69,OK,15.7,OK,26.94,UNDERSTOCK,58.43,UNDERSTOCK
743,118,Hyderabad,Company_743,Branch_743,Sofa,0,3.73,UNDERSTOCK,8.41,UNDERSTOCK,12.07,UNDERSTOCK,12.65,UNDERSTOCK,25.39,UNDERSTOCK,51.2,UNDERSTOCK,62.15,UNDERSTOCK
895,481,Patna,Company_895,Branch_895,Product_481,6,2.57,OVERSTOCK,5.7,OK,7.08,UNDERSTOCK,8.86,UNDERSTOCK,14.52,UNDERSTOCK,24.71,UNDERSTOCK,51.15,UNDERSTOCK
18,127,Bangalore,Vishal,Branch 7,Wall Art,5,9.26,UNDERSTOCK,20.22,UNDERSTOCK,31.23,UNDERSTOCK,45.87,UNDERSTOCK,53.15,UNDERSTOCK,53.15,UNDERSTOCK,51.64,UNDERSTOCK
9,235,Patna,Dmart,Branch 10,Comic (Extra),0,3.9,UNDERSTOCK,4.71,UNDERSTOCK,3.59,UNDERSTOCK,4.92,UNDERSTOCK,9.78,UNDERSTOCK,12.4,UNDERSTOCK,19.08,UNDERSTOCK
25,317,Mumbai,Reliance,Branch 2,Rubber Band (Extra2),0,2.92,UNDERSTOCK,7.02,UNDERSTOCK,10.92,UNDERSTOCK,14.95,UNDERSTOCK,20.84,UNDERSTOCK,41.36,UNDERSTOCK,70.03,UNDERSTOCK
76,834,Bhopal,StarBazaar,Branch 5,Product_834,16,5.39,OVERSTOCK,9.42,OK,13.52,OK,24.22,UNDERSTOCK,43.47,UNDERSTOCK,61.51,UNDERSTOCK,62.31,UNDERSTOCK
45,272,Delhi,MoreSuper,Branch 10,Shower Gel (Extra),0,2.39,UNDERSTOCK,5.29,UNDERSTOCK,7.16,UNDERSTOCK,10.05,UNDERSTOCK,12.72,UNDERSTOCK,17.81,UNDERSTOCK,32.61,UNDERSTOCK
23,261,Lucknow,Vishal,Branch 12,Pressure Cooker (Extra),0,2.38,UNDERSTOCK,5.37,UNDERSTOCK,7.07,UNDERSTOCK,8.5,UNDERSTOCK,11.3,UNDERSTOCK,14.23,UNDERSTOCK,25.88,UNDERSTOCK
22,235,Chandigarh,Vishal,Branch 11,Comic (Extra),0,7.02,UNDERSTOCK,9.17,UNDERSTOCK,8.77,UNDERSTOCK,13.52,UNDERSTOCK,20.02,UNDERSTOCK,32.81,UNDERSTOCK,63.15,UNDERSTOCK
66,69,Mumbai,Spencer,Branch 7,Pencil,0,4.25,UNDERSTOCK,7.29,UNDERSTOCK,9.45,UNDERSTOCK,14.69,UNDERSTOCK,19.9,UNDERSTOCK,37.55,UNDERSTOCK,64.46,UNDERSTOCK
742,118,Patna,Company_742,Branch_742,Sofa,0,4.98,UNDERSTOCK,6.72,UNDERSTOCK,11.27,UNDERSTOCK,15.21,UNDERSTOCK,24.48,UNDERSTOCK,40.54,UNDERSTOCK,51.25,UNDERSTOCK
