store_id,company_name,branch_name
0,Dmart,Branch 1
1,Dmart,Branch 2
2,Dmart,Branch 3
3,Dmart,Branch 4
4,Dmart,Branch 5
5,Dmart,Branch 6
6,Dmart,Branch 7
7,Dmart,Branch 8
8,Dmart,Branch 9
9,Dmart,Branch 10
10,Dmart,Branch 11
11,Dmart,Branch 12
12,Vishal,Branch 1
13,Vishal,Branch 2
14,Vishal,Branch 3
15,Vishal,Branch 4
16,Vishal,Branch 5
17,Vishal,Branch 6
18,Vishal,Branch 7
19,Vishal,Branch 8
20,Vishal,Branch 9
21,Vishal,Branch 10
22,Vishal,Branch 11
23,Vishal,Branch 12
24,Reliance,Branch 1
25,Reliance,Branch 2
26,Reliance,Branch 3
27,Reliance,Branch 4
28,Reliance,Branch 5
29,Reliance,Branch 6
30,Reliance,Branch 7
31,Reliance,Branch 8
32,Reliance,Branch 9
33,Reliance,Branch 10
34,Reliance,Branch 11
35,Reliance,Branch 12
36,MoreSuper,Branch 1
37,MoreSuper,Branch 2
38,MoreSuper,Branch 3
39,MoreSuper,Branch 4
40,MoreSuper,Branch 5
41,MoreSuper,Branch 6
42,MoreSuper,Branch 7
43,MoreSuper,Branch 8
44,MoreSuper,Branch 9
45,MoreSuper,Branch 10
46,MoreSuper,Branch 11
47,MoreSuper,Branch 12
48,BigBazaar,Branch 1
49,BigBazaar,Branch 2
50,BigBazaar,Branch 3
51,BigBazaar,Branch 4
52,BigBazaar,Branch 5
53,BigBazaar,Branch 6
54,BigBazaar,Branch 7
55,BigBazaar,Branch 8
56,BigBazaar,Branch 9
57,BigBazaar,Branch 10
58,BigBazaar,Branch 11
59,BigBazaar,Branch 12
60,Spencer,Branch 1
61,Spencer,Branch 2
62,Spencer,Branch 3
63,Spencer,Branch 4
64,Spencer,Branch 5
65,Spencer,Branch 6
66,Spencer,Branch 7
67,Spencer,Branch 8
68,Spencer,Branch 9
69,Spencer,Branch 10
70,Spencer,Branch 11
71,Spencer,Branch 12
72,StarBazaar,Branch 1
73,StarBazaar,Branch 2
74,StarBazaar,Branch 3
